Company,Page,Category,Verbatim Claim,English Translation,Language,Confidence,GPT Valid Claim,Text Verified,Environmental Relevance,Company Attributed,Complete Claim,Exclusion Reason,GPT Notes,Page URL,Source File,EMAS Verified,EU Organic Verified,B Corp Verified,Bord Bia Verified,Biopartenaire Verified,BioED Verified,ECGT Label,ECGT Rule Triggered,ECGT Explanation,ECGT Review Flag
The Happy Pear,Homepage,waste,"Our 6th book 'The Veg Box: 10 Vegetables, 10 Ways' was designed to help you reduce food waste with delicious recipes to inspire you to eat more plant-based food.","Our 6th book 'The Veg Box: 10 Vegetables, 10 Ways' was designed to help you reduce food waste with delicious recipes to inspire you to eat more plant-based food.",EN,0.82,Yes,Yes,Yes,Yes,Yes,,The page explicitly says the book was designed to help reduce food waste.,https://thehappypear.ie/,the_happy_pear.json,No,Yes,Yes,Yes,No,No,GREEN,"GREEN - concrete, verifiable fact (named publication, specific action already taken) with company holding confirmed B Corp certification","The claim describes a specific, completed action: publication of a named book ('The Veg Box: 10 Vegetables, 10 Ways') with a concrete environmental purpose (reducing food waste, promoting plant-based eating). This is a factual company achievement, not a forward-looking aspiration or vague assertion. Although the claim does not reference a certification directly, it describes a measurable, named initiative that demonstrates environmental commitment. The company holds confirmed B Corp certification, which validates social and environmental performance standards across the business, providing independent verification that supports credibility for this type of concrete initiative claim.",No
The Happy Pear,Homepage,sourcing,"Learn traditional techniques using organic flours to create delicious, homemade sourdough breads.","Learn traditional techniques using organic flours to create delicious, homemade sourdough breads.",EN,0.75,Yes,Yes,Yes,Yes,Yes,,The sourdough course description explicitly mentions using organic flours.,https://thehappypear.ie/,the_happy_pear.json,No,Yes,Yes,Yes,No,No,AMBER,"AMBER – specific claim (named action: 'using organic flours') with TYPE-MATCHING registry confirmed (EU Organic), but claim does not reference the certification explicitly, creating ambiguity about whether the company is asserting certified-organic sourcing or simply describing a technique","The claim names a specific behaviour ('using organic flours') and EU Organic certification is confirmed for this company, placing it at the GREEN/AMBER boundary. However, the claim does not explicitly state 'certified organic' or reference the certification by name — it describes a technique using organic inputs without confirming those inputs are certified. This leaves ambiguity: the confirmed registry provides a credibility floor (AMBER minimum), but the lack of explicit certification reference and the focus on 'traditional techniques' rather than sourcing verification prevents upgrading to GREEN.",Yes
The Happy Pear,Homepage,general,"The Happy Pear started out back in 2004 with Steve, Dave, a tiny shop and a dream of helping people to eat more veg! Fast forward almost 20 years and the mission is still the same, to create a healthier happier world and build community! But now The Happy Pear consists of over 70 products, a suite of online courses & a new revolutionary app, our café and shop in Greystones, Wicklow, a range of cookbooks, a farm, a roastery and an online community of over 1 million people living healthier!","The Happy Pear started out back in 2004 with Steve, Dave, a tiny shop and a dream of helping people to eat more veg! Fast forward almost 20 years and the mission is still the same, to create a healthier happier world and build community! But now The Happy Pear consists of over 70 products, a suite of online courses & a new revolutionary app, our café and shop in Greystones, Wicklow, a range of cookbooks, a farm, a roastery and an online community of over 1 million people living healthier!",EN,0.6,No,Yes,No,Yes,Yes,NOT_ENVIRONMENTAL,"This is a company story and mission statement, but it does not itself make an environmental claim.",https://thehappypear.ie/,the_happy_pear.json,No,Yes,Yes,Yes,No,No,GREEN,"GREEN - Factual company history, founding story, and structure statements","This claim is a narrative account of the company's founding (2004), founders (Steve and Dave), and verifiable business evolution (shop location in Greystones, Wicklow; specific product/service expansion). These are background facts about the company's history and structure, not environmental performance claims requiring independent verification. Per STEP 2 GREEN criterion: 'Factual company history, founding story, or structure statements...Do not route these into RED for lack of a certification; that's the wrong test for this claim type.' The confirmed registries (EU Organic, B Corp, Origin Green) provide additional credibility context but are not necessary to classify a founding narrative as GREEN.",No
The Happy Pear,About,general,a 4 acre regenerative organic farm,a 4 acre regenerative organic farm,EN,0.95,Yes,Yes,Yes,Yes,Yes,,Faithful excerpt from the company’s own farm description; clearly environmental and attributable.,https://thehappypear.ie/about/,the_happy_pear.json,No,Yes,Yes,Yes,No,No,GREEN,GREEN - specific detail (named acreage) AND type-matching registry confirmed (EU Organic),"The claim names a concrete, measurable detail ('4 acre') and describes regenerative organic farming. EU Organic certification is confirmed in the registry, which directly verifies organic status claims. The specificity of the acreage detail combined with the matching certified registry status meets the GREEN criterion.",No
The Happy Pear,About,general,"We're here to inspire you, to make a positive impact on our planet and to have fun, all through the delicious, joyful act of eating!","We're here to inspire you, to make a positive impact on our planet and to have fun, all through the delicious, joyful act of eating!",EN,0.72,Yes,Yes,Yes,Yes,Yes,,Present in the manifesto/message from the company and includes an explicit claim about making a positive impact on the planet.,https://thehappypear.ie/about/,the_happy_pear.json,No,Yes,Yes,Yes,No,No,RED,"RED - pure marketing slogan with no environmental behaviour, action, or commitment named","After stripping buzzwords ('positive impact', 'planet'), the claim asserts nothing concrete about environmental performance, action, or commitment — it is aspirational messaging about eating joyfully. No specific behaviour, metric, date, supplier, programme, or verifiable environmental action is named. Despite confirmed registries (EU Organic, B Corp, Bord Bia), a bare tagline of this kind cannot be rehabilitated by certification status under ECGT 2024/825; the certification does not verify the vague claim itself.",No
The Happy Pear,About,general,"We're here to support you on your journey to make healthier, more sustainable plant based food choices.","We're here to support you on your journey to make healthier, more sustainable plant based food choices.",EN,0.78,Yes,Yes,Yes,Yes,Yes,,Faithful company statement about sustainable plant-based food choices; environmentally relevant and complete.,https://thehappypear.ie/about/,the_happy_pear.json,No,Yes,Yes,Yes,No,No,AMBER,"AMBER – vague aspiration/commitment with no specific metric, action, or date named; no registry matches the broad sustainability claim being made","The claim describes a general commitment to support customers in making 'healthier, more sustainable plant based food choices' but names no concrete action, measurable outcome, supplier, date, or programme. While the company holds confirmed certifications (EU Organic, B Corp, Bord Bia), none of these directly verify a broad behavioural-support or educational claim of this kind. The claim is substantive (it describes a commitment, not a bare tagline), so it exceeds the RED threshold, but without specific evidence or a type-matching registry, it falls to AMBER.",No
The Happy Pear,About,general,"Together, we can create a world where our food choices support nature, build community, and bring happiness to our lives.","Together, we can create a world where our food choices support nature, build community, and bring happiness to our lives.",EN,0.7,Yes,Yes,Yes,Yes,Yes,,Company-authored mission statement referencing food choices supporting nature; complete environmental claim.,https://thehappypear.ie/about/,the_happy_pear.json,No,Yes,Yes,Yes,No,No,RED,"RED — pure marketing slogan with no environmental behaviour, action, or commitment named; bare tagline test applies","This claim is aspirational marketing language ('create a world where...') that names no specific action, metric, supplier, date, location, or environmental behaviour by the company itself. After stripping buzzwords (nature, community, happiness, food choices), no concrete environmental commitment or verifiable fact survives. The claim is a bare tagline regardless of sentence length — it asserts no checkable behaviour. Registry confirmations (EU Organic, B Corp, Bord Bia) cannot give substance to a tagline that asserts nothing behavioural and therefore do not elevate this to AMBER.",No
The Happy Pear,About,biodiversity,"We run a 4 acre organic, regenerative farm based in Kilcoole, Co Wicklow just 10 mins south of Greystones, focused on minimum till or no dig practices where we not only adhere to the current organic growing standards but also focus on improving the soil microbe health and increasing the biodiversity around the farm through planting a mix of different pollinator species.","We run a 4 acre organic, regenerative farm based in Kilcoole, Co Wicklow just 10 mins south of Greystones, focused on minimum till or no dig practices where we not only adhere to the current organic growing standards but also focus on improving the soil microbe health and increasing the biodiversity around the farm through planting a mix of different pollinator species.",EN,0.97,Yes,Yes,Yes,Yes,Yes,,"Accurately reflects the farm description including organic/regenerative practices, soil health, and biodiversity measures.",https://thehappypear.ie/about/,the_happy_pear.json,No,Yes,Yes,Yes,No,No,GREEN,"GREEN - Specific, concrete facts with TYPE-MATCHING registry confirmed","The claim names specific, verifiable actions (4-acre farm location, minimum till/no dig practices, soil microbe health focus, pollinator planting) and explicitly references organic growing standards. EU Organic certification is confirmed in the registry and directly validates the organic claim. The concrete details about regenerative practices, location, and biodiversity actions meet the specificity threshold, and the TYPE-MATCHING registry (EU Organic) confirms the organic component of the claim.",No
The Happy Pear,About,sourcing,We produce up to 40 different crops across the full year,We produce up to 40 different crops across the full year,EN,0.75,No,Yes,No,Yes,Yes,NOT_ENVIRONMENTAL,"The statement is about production volume/crop variety, not an environmental attribute.",https://thehappypear.ie/about/,the_happy_pear.json,No,Yes,Yes,Yes,No,No,GREEN,"GREEN - Concrete, verifiable fact (specific action: producing up to 40 different crops year-round) with type-matching registry confirmed (EU Organic)","The claim states a measurable, concrete operational fact about crop diversity and year-round production — a specific action already being taken. EU Organic certification is confirmed for this company and is the relevant type-matching registry for a sourcing/production claim about crops. The specificity of the number (40 crops) and the scope (full year) constitute verifiable facts that meet the GREEN criterion for concrete, checkable statements backed by relevant certification.",No
The Happy Pear,About,sourcing,"Whether it's through our cafe, supper club, cookbooks, online courses, recipe club, food products, organic farms or social media, we aim to bring people together around the shared goal of eating well and living better.","Whether it's through our cafe, supper club, cookbooks, online courses, recipe club, food products, organic farms or social media, we aim to bring people together around the shared goal of eating well and living better.",EN,0.8,No,No,Yes,Yes,Yes,PARAPHRASED_OR_EXAGGERATED,"The source text says the channels serve the goal of helping people eat well and live better; the extractor added 'shared goal' and omitted the exact structure, making it less faithful.",https://thehappypear.ie/about/,the_happy_pear.json,No,Yes,Yes,Yes,No,No,AMBER,"AMBER - specific commitment named ('we aim to bring people together around the shared goal of eating well and living better') but claim is aspirational/hedged language without measurable outcome, and registry confirmation (EU Organic, B Corp, Bord Bia) does not directly verify this particular sourcing/values commitment","The claim names a specific commitment ('aim to bring people together...eating well and living better') with named channels (cafe, supper club, cookbooks, farms, etc.), moving it above bare tagline level and into substantive territory. However, the claim is hedged ('we aim to') and describes a values/behaviour commitment rather than a concrete verifiable action or metric. While the company holds confirmed certifications, none of them (EU Organic, B Corp, Bord Bia) directly verify this particular claim about bringing people together or living better — these are type-mismatches for a sourcing/values assertion. Under STEP 2 AMBER criterion, a specific commitment with hedged language and no type-matching registry confirmation warrants AMBER.",Yes
